epoch,accuracy,loss,val_accuracy,val_loss
0,0.6443398594856262,0.9978259801864624,0.6657060384750366,0.9305956363677979
1,0.7926930785179138,0.5918877720832825,0.7175792455673218,0.7403899431228638
2,0.845004141330719,0.42320558428764343,0.7175792455673218,0.7395398616790771
3,0.872958779335022,0.3416626453399658,0.7233429551124573,0.7551900148391724
4,0.9009133577346802,0.2757987380027771,0.680115282535553,0.845838725566864
5,0.9205646514892578,0.23037222027778625,0.7060518860816956,0.8523441553115845
6,0.9388319849967957,0.19300608336925507,0.6974063515663147,0.9174967408180237
7,0.9451978802680969,0.17067132890224457,0.7060518860816956,0.9454383254051208
8,0.9615278244018555,0.1411566138267517,0.6916426420211792,1.0263129472732544
9,0.9629117250442505,0.12677133083343506,0.7031700015068054,1.0611745119094849
10,0.9654027223587036,0.117433562874794,0.7002881765365601,1.0920405387878418
11,0.9695543646812439,0.10494457930326462,0.7060518860816956,1.1375007629394531
12,0.9723221659660339,0.09465594589710236,0.7175792455673218,1.1389391422271729
13,0.9739828109741211,0.09058191627264023,0.6858789920806885,1.2325247526168823
14,0.973706066608429,0.09349923580884933,0.7002881765365601,1.2631906270980835
15,0.9725989699363708,0.08418265730142593,0.7002881765365601,1.3071128129959106
16,0.9759202599525452,0.08174816519021988,0.6974063515663147,1.302990436553955
17,0.9753667116165161,0.07270300388336182,0.6858789920806885,1.3725030422210693
18,0.9784113168716431,0.07360012084245682,0.6858789920806885,1.3744707107543945
19,0.9778577089309692,0.06697377562522888,0.6743515729904175,1.4214646816253662
20,0.9759202599525452,0.06769271194934845,0.680115282535553,1.4028240442276
21,0.9781345129013062,0.06628601998090744,0.6887608170509338,1.4284220933914185
22,0.976473867893219,0.06490667164325714,0.6858789920806885,1.4686294794082642
23,0.9786880612373352,0.06004387140274048,0.6772334575653076,1.420421838760376
24,0.9789648652076721,0.06439001858234406,0.6772334575653076,1.457249402999878
